"";"unidade";"N.pdv.basico";"pago.pdv.basico";"N.pdv.superior";"pago.pdv.superior";"N.pdv.tecnico";"pago.pdv.tecnico";"N.pdv";"pago.pdv";"N.nd.basico";"sal.nd.basico";"N.nd.tecnico";"sal.nd.tecnico";"N.nd.superior";"sal.nd.superior";"N.nd";"sal.nd";"N.clt.basico";"sal.clt.basico";"N.clt.tecnico";"sal.clt.tecnico";"N.clt.superior";"sal.clt.superior";"N.clt";"sal.clt";"N.clt.20.basico";"sal.clt.20.basico";"N.clt.20.tecnico";"sal.clt.20.tecnico";"N.clt.20.superior";"sal.clt.20.superior";"N.clt.20";"sal.clt.20"
"46";"IMT";0;0;2;648253,66;3;444526,85;5;1092780,51;15;57313,1;20;125217,63;31;353869,53;66;536400,26;14;50814,6;19;117356,34;30;333349,04;63;501519,98;3;18934,48;5;47339,51;17;226990,43;25;293264,42
"47";"IO";12;1533902;2;824515,1;13;2405460,92;27;4763878,02;81;238039,24;77;559100,3;37;446405,4;195;1243544,94;80;231042,73;77;559100,3;37;446405,4;194;1236548,43;32;122828,93;40;356102,54;22;315065,59;94;793997,06
"48";"IP";3;312306,1;3;1078901,01;5;1133386,1;11;2524593,21;39;178795,57;79;564456,27;44;485991,69;162;1229243,53;35;152745,1;75;530874,87;43;465593,94;153;1149213,91;11;53621,15;37;314372,03;21;281174,85;69;649168,03
"49";"IQ";11;1321916,3;1;449594,72;11;1971113,35;23;3742624,37;76;313716,88;122;795629,06;63;667639,88;261;1776985,82;74;300824,43;119;758791,98;61;636903,99;254;1696520,4;25;133021,67;45;382655,12;17;262522,21;87;778199
"50";"IQSC";1;61006,49;1;282675,11;0;0;2;343681,6;12;50126,18;82;543962,19;37;436418,52;131;1030506,89;12;50126,18;82;543962,19;36;420455,74;130;1014544,11;5;24836,64;27;263700,28;19;284417,17;51;572954,09
"51";"IRI";0;0;0;0;1;325710,92;1;325710,92;3;8120,98;19;125827,94;6;65727,59;28;199676,51;3;8120,98;19;125827,94;6;65727,59;28;199676,51;0;0;5;55385,88;2;32763,89;7;88149,77
"52";"MAC";0;0;2;920023,54;3;526981,25;5;1447004,79;43;191914,17;26;185264,62;29;361223,62;98;738402,41;43;191914,17;26;185264,62;29;361223,62;98;738402,41;19;104916,6;17;143040,13;16;239305,69;52;487262,42
"53";"M A E";2;254339,63;1;366355,36;1;121087,32;4;741782,31;21;92584,4;27;189851,68;18;224352,27;66;506788,35;20;86858,26;25;172708,07;17;210260,36;62;469826,69;11;55492,49;9;90539,82;10;144871,9;30;290904,21
"54";"MP";8;843954,14;1;316782,5;3;576431,75;12;1737168,39;51;207255,86;33;207263,16;25;289165,57;109;703684,59;50;199573,14;32;198384,36;25;289165,57;107;687123,07;23;114754,32;10;80893,45;12;173695,38;45;369343,15
"55";"MZ";2;165615,05;1;136596,14;7;1444536,32;10;1746747,51;33;119990,2;37;242481,07;19;205149,92;89;567621,19;33;119990,2;37;242481,07;18;189032,27;88;551503,54;11;50821,36;17;144257,98;5;69281,38;33;264360,72
"56";"PUSP-B";11;1099291,33;0;0;1;181531,62;12;1280822,95;67;262010,2;43;319667,02;13;156608,32;123;738285,54;67;262010,2;43;319667,02;12;139271,72;122;720948,94;30;148110,9;21;191369,63;6;87906,87;57;427387,4
"57";"PUSP-C";27;3090104,22;1;362861,66;9;1696476,82;37;5149442,7;188;903537,7;81;601685,86;26;336535,57;295;1841759,13;188;903537,7;80;592830,05;26;336535,57;294;1832903,32;143;738020,9;49;427192,48;14;229136,71;206;1394350,09
"58";"PUSP-LQ";15;1729651,89;0;0;3;449985,54;18;2179637,43;162;681622,46;96;728049,71;21;250521,16;279;1660193,33;160;671852,77;95;719374,93;21;250521,16;276;1641748,86;78;402704,61;58;514106;8;116293,11;144;1033103,72
"59";"PUSP-P";6;687260,2;1;427167,4;2;411411,74;9;1525839,34;128;519041,42;68;498607,93;15;190501,55;211;1208150,9;121;479372,03;64;460042,69;15;190501,55;200;1129916,27;54;281073,18;32;276163,73;8;119837,19;94;677074,1
"60";"PUSP-RP";25;2758446,42;7;2450136,51;7;1344458,58;39;6553041,51;268;1164721,91;164;1183309,76;53;641361,66;485;2989393,33;268;1164721,91;163;1175955,89;53;641361,66;484;2982039,46;145;761495,88;83;720827,92;27;408382,53;255;1890706,33
"61";"PUSP-SC";8;942919,09;1;355968,04;2;369287,25;11;1668174,38;151;583583,03;79;530917,54;28;316212,76;258;1430713,33;150;575988,02;77;511760,66;28;316212,76;255;1403961,44;63;316913,37;30;275486,18;13;175266,13;106;767665,68
"62";"RUSP";26;2931138,27;20;5287577,35;50;8867587,38;96;17086303;225;940760,15;670;4600762,67;415;5241449,68;1310;10782972,5;217;887263,38;658;4502816,73;384;4715667,56;1259;10105747,67;96;508855,36;264;2372685,22;136;2134042,71;496;5015583,29
"63";"SAS";29;2958347,68;7;2248411,97;16;2544115,05;52;7750874,7;378;1338150,28;251;1395769,33;72;863384,09;701;3597303,7;378;1338150,28;250;1383223,31;71;848784,19;699;3570157,78;137;666532,04;97;693023,1;36;527900,55;270;1887455,69
"64";"SCS";0;0;2;299908,44;7;1141491,26;9;1441399,7;21;83739,73;60;422456;53;619082,85;134;1125278,58;20;77474,93;59;412531,29;50;570454,1;129;1060460,32;11;46721,18;32;257634,38;23;322578,78;66;626934,34
"65";"SEF";11;1256258,43026948;3;1177881,48;13;2899505,3;27;5333645,21026948;49;221437,03;56;447126,72;70;756430,91;175;1424994,66;49;221437,03;56;447126,72;70;756430,91;175;1424994,66;39;193680,83;37;342360,91;20;327926,66;96;863968,4
"66";"SIBI";3;375356,83;4;1529749,87;6;1226484,16;13;3131590,86;7;28596,03;22;148934,51;31;352183,35;60;529713,89;7;28596,03;21;142114,57;31;352183,35;59;522893,95;3;15484,19;14;110058,96;11;176149,61;28;301692,76
"67";"STI";2;263731,23;4;2021170,4;11;2060132;17;4345033,63;32;136952,76;164;1202897,77;132;1762870,21;328;3102720,74;32;136952,76;162;1185575,59;132;1762870,21;326;3085398,56;15;73889,3;76;700512,99;60;1063762,51;151;1838164,8
"68";"SVOC";1;162111,38;0;0;1;220520,7;2;382632,08;30;139599,58;35;261644,93;14;163870,34;79;565114,85;22;93069,19;25;174654,91;12;134639,7;59;402363,8;12;65354,79;10;94844,29;3;48774,09;25;208973,17
